Website Path,Course Title,Location,Courses Values,Courses,Holes
https://foreupsoftware.com/index.php/booking/19021#/welcome,Columbia Golf Club,"125 AA Road Columbia, IL 62236 USA ","792, 781","Bridges, Columbia",
https://foreupsoftware.com/index.php/booking/19183#/welcome,Costa Del Sol,"100 COSTA DEL SOL BLVD MIAMI, FL 33178 USA ",3084,CDS Golf Club 2019,"9, 18"
https://foreupsoftware.com/index.php/booking/19201#/welcome,Cove View Golf Course,"1315 West 1800 South Richfield, UT 84701 USA ",1265,Cove View,
https://foreupsoftware.com/index.php/booking/19534#/welcome,Coyote Creek Golf Course,"222 Clubhouse Drive Fort Lupton, CO 80621 USA ",1798,Coyote Creek Golf Course,"9, 18"
https://foreupsoftware.com/index.php/booking/19462#/welcome,Crazy Horse Sports Club & Golf Course,"922 Crazy Horse Road Hutchinson, KS 67502 USA ","1677, 6204","Crazy Horse Sports Club, Golf Simulator Room",
https://foreupsoftware.com/index.php/booking/19603#/welcome,Crystal Springs Golf Course,"N8055 French Road Seymour, WI 54165 USA ",1915,Crystal Springs Golf Course,
https://foreupsoftware.com/index.php/booking/19329#/welcome,Cypress Creek Golf Course,"34 Cypress Creek Crossing Cabot, AR 72023 USA ",1443,Cypress Creek,"9, 18"
https://foreupsoftware.com/index.php/booking/19390#/welcome,Daytona Golf Club,"14730 Lawndale Ln Dayton, MN 55330 USA ",1908,Daytona Golf Club,
https://foreupsoftware.com/index.php/booking/19744#/welcome,Deer Park Golf Club,"1201 N Country Club Dr Deer Park, WA 99006 USA ",2378,18 Hole,"9, 18"
https://foreupsoftware.com/index.php/booking/19357#/welcome,Defuniak Springs Country Club - 1,"171 Country Club Ln. Defuniak Springs, FL 32435 USA ","1483, 2920","Defuniak Springs Country Club, New Tee Sheet",
https://foreupsoftware.com/index.php/booking/19625#/welcome,Demo 50," The Colony, TX 80014 USA ",1955,Demo Tee Sheet,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19187#/welcome,Demo Account 75," Alamamogordo, NM 33947 USA ","8084, 3043","27 Holes, Long Meadow to White Marsh","9, 18, Both"
https://foreupsoftware.com/index.php/booking/19677#/welcome,Development Testing - Apriva,"387 S 520 W Lindon, AL 84042 USA ","2157, 2225","Dev Testing Apriva, No sheet set to default Test","9, 18"
https://foreupsoftware.com/index.php/booking/19533#/welcome,Diamond Valley Golf Club,"31220 Sage Road Hemet, CA 92543 USA ",1795,Diamond Valley Golf (Slow Greens),18
https://foreupsoftware.com/index.php/booking/19799#/welcome,Diamond Woods Golf Course,"96040 Territorial Highway Monroe, OR 97456 USA ","2482, 8632","Diamond Woods, Simulator","9, 18"
https://foreupsoftware.com/index.php/booking/19506#/welcome,Dinaland Golf Course,"675 South 2000 East Vernal, UT 84078 USA ",1826,Dinaland Golf Course,
https://foreupsoftware.com/index.php/booking/19366#/welcome,Dogwood Hills Golf Course,"1193 Debord Rd Chillicothe, OH 45601 USA ",5146,Dogwood Hills Golf Course,
https://foreupsoftware.com/index.php/booking/19503#/welcome,Eagle Glen Golf Club (Cancelled),"129 South Eagle Trail Columbia City, IN 46725 USA ",1766,Eagle Glen Golf Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19046#/welcome,Edgewood Golf Course (MA),"161 Sheep Pasture Road Southwick, MA 01077 USA ",964,Edgewood Golf Course,
https://foreupsoftware.com/index.php/booking/19022#/welcome,Elmhurst Country Club Pro Shop,"300 Jonslea Lane Roaring Brook, PA 18444 USA ",1132,Online Accounts,"9, 18"
https://foreupsoftware.com/index.php/booking/19202#/welcome,Emerald Greens Golf Course,"14425 Goodwin Ave, Hastings, MN 55033 USA ","1266, 1308","Gold, Silver",
https://foreupsoftware.com/index.php/booking/19255#/welcome,Fenton Farms Golf Club,"12312 Torrey Road Fenton, MI 48430 USA ",1342,Fenton Farms,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19862#/welcome,Flint River Municipal Golf Course,"2000 McAdams Rd Albany, GA 31705 USA ","2713, 11360, 11361","Flint River, Flintriver 18, Flintriver 18",
https://foreupsoftware.com/index.php/booking/19587#/welcome,Forest Dale Golf Course,"2375 South 900 East Salt Lake City, UT 84106 USA ",1900,Forest Dale Golf Course,9
https://foreupsoftware.com/index.php/booking/19619#/welcome,Fossil Island Golf Club,"220 Wyoming Hwy. 233 Kemmerer, WY 83101 USA ",1943,Fossil Island Golf Course Tee Sheet,
https://foreupsoftware.com/index.php/booking/19044#/welcome,Fountains Golf and Banquet,"6060 Maybee Road Clarkston, MI 48346 USA ",894,Fountains Golf Course,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19184#/welcome,Frasch Park Golf Course & Grill,"400 Picard Road Sulphur, LA 70663 USA ","10152, 11138, 1244",", 2024 Frasch Park GC, Frasch Park Golf Course","9, 18, Both"
https://foreupsoftware.com/index.php/booking/19600#/welcome,Gates Park Golf Course (CANCELLED),"820 East Donald Street Waterloo, IA 50703 USA ","2371, 2771","Simulator, Test","9, 18"
https://foreupsoftware.com/index.php/booking/19800#/welcome,Genesee Valley Golf Course,"1000 E River Rd Rochester, NY 14623 USA ","2506, 2507, 2489, 2487, 2503","Churchville East, Churchville West, Durand Eastman Golf Course, Genesee Valley North, Genesee Valley South",
https://foreupsoftware.com/index.php/booking/19483#/welcome,Glen Ivy Golf Club,"24400 Trilogy Parkway Corona, CA 92883 USA ",1727,Glen Ivy Golf Club,"9, 18"
https://foreupsoftware.com/index.php/booking/19066#/welcome,Golden Pheasant Golf Club,"141 Country Club Drive Lumberton, NJ 08048 USA ",970,Golden Pheasant Golf Club,
https://foreupsoftware.com/index.php/booking/19536#/welcome,Grapevine Golf Course,"DBA:GRAPEVINE GOLF COURSE GRAPEVINE, TX 76051 USA ",1832,Primary,18
https://foreupsoftware.com/index.php/booking/19580#/welcome,Greenhills Golf Course,"PO Box 206 Ravenswood, WV 26164 USA ",1867,Greenhills Golf Course,
https://foreupsoftware.com/index.php/booking/19136#/welcome,Halcrow Lake Golf & Country Club,"PO Box 2606 The Pas, Manitoba, MB R9A 1M3 CA ",1126,Halcrow Lake,
https://foreupsoftware.com/index.php/booking/19170#/welcome,Hartwell Golf Club,"755 Golf Course Road Hart County, GA 30643 USA ",1214,Hartwell,
https://foreupsoftware.com/index.php/booking/19557#/welcome,Hickory Hill Golf Course,"200 North Lowell Street Methuen, MA 01844 USA ",1829,Hickory Hill Golf Course,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19351#/welcome,Hillcrest Golf Club (SK),"PO Box 277 (1599 Main St N) Moose Jaw , SK S6H 4N9 CA ",1479,Hillcrest,
https://foreupsoftware.com/index.php/booking/19634#/welcome,Hobbit's Glen Golf Club (DEMO),"11130 Willow Bottom Drive Columbia, MD 84057 USA ",1978,Genesee Valley,"9, 18"
https://foreupsoftware.com/index.php/booking/19377#/welcome,Hunters Creek Golf,"702 Hunters Creek Blvd Greenwood, SC 29649 USA ",1549,Hunter's Creek,"9, 18"
https://foreupsoftware.com/index.php/booking/19395#/welcome,Indian Creek Golf Course,"3605 Brookside Drive Hood River, OR 97031 USA ",1563,Indian Creek,18
https://foreupsoftware.com/index.php/booking/19715#/welcome,Inshalla Country Club,"N11060 Clear Lake Rd Tomahawk, WI 54487 USA ",2251,Inshalla Country Club,
